self-test: enumeration reproduces PV-21 and the involution counts 1,2,4,10,26,76,232,764
length 17: sweeping self-dual permutations ending in 1 (= I(16) of them) in 27940 work units on 12 workers
  [20/27940] checked 661,176  1,578/s  elapsed 7.0m
  [4620/27940] checked 13,980,028  4,707/s  elapsed 49.5m
  [4640/27940] checked 13,999,020  4,706/s  elapsed 49.6m
  [4660/27940] checked 14,039,736  4,692/s  elapsed 49.9m
  [4680/27940] checked 14,062,440  4,700/s  elapsed 49.9m
  [4700/27940] checked 14,081,432  4,706/s  elapsed 49.9m
  [4720/27940] checked 14,100,424  4,710/s  elapsed 49.9m
  [4740/27940] checked 14,119,416  4,706/s  elapsed 50.0m
  [4760/27940] checked 14,138,408  4,707/s  elapsed 50.1m
  [4780/27940] checked 14,177,268  4,687/s  elapsed 50.4m
  [4800/27940] checked 14,201,828  4,695/s  elapsed 50.4m
  [4820/27940] checked 14,220,820  4,702/s  elapsed 50.4m
  [4840/27940] checked 14,239,812  4,708/s  elapsed 50.4m
  [4860/27940] checked 14,258,804  4,708/s  elapsed 50.5m
  [4880/27940] checked 14,277,796  4,708/s  elapsed 50.5m
  [4900/27940] checked 14,314,800  4,694/s  elapsed 50.8m
  [4920/27940] checked 14,341,216  4,703/s  elapsed 50.8m
  [4940/27940] checked 14,360,208  4,706/s  elapsed 50.9m
  [4960/27940] checked 14,379,200  4,707/s  elapsed 50.9m
  [4980/27940] checked 14,398,192  4,702/s  elapsed 51.0m
  [5000/27940] checked 14,417,184  4,703/s  elapsed 51.1m
  [5020/27940] checked 14,452,332  4,675/s  elapsed 51.5m
  [5040/27940] checked 14,480,604  4,684/s  elapsed 51.5m
  [5060/27940] checked 14,499,596  4,690/s  elapsed 51.5m
  [5080/27940] checked 14,518,588  4,696/s  elapsed 51.5m
  [5100/27940] checked 14,537,580  4,699/s  elapsed 51.6m
  [5120/27940] checked 14,556,572  4,697/s  elapsed 51.7m
  [5140/27940] checked 14,589,864  4,676/s  elapsed 52.0m
  [5160/27940] checked 14,619,992  4,685/s  elapsed 52.0m
  [5180/27940] checked 14,638,984  4,691/s  elapsed 52.0m
  [5200/27940] checked 14,657,976  4,689/s  elapsed 52.1m
  [5220/27940] checked 14,676,968  4,691/s  elapsed 52.1m
  [5240/27940] checked 14,695,960  4,688/s  elapsed 52.2m
  [5260/27940] checked 14,727,396  4,664/s  elapsed 52.6m
  [5280/27940] checked 14,759,380  4,674/s  elapsed 52.6m
  [5300/27940] checked 14,778,372  4,680/s  elapsed 52.6m
  [5320/27940] checked 14,797,364  4,685/s  elapsed 52.6m
  [5340/27940] checked 14,816,356  4,685/s  elapsed 52.7m
  [5360/27940] checked 14,835,348  4,681/s  elapsed 52.8m
  [5380/27940] checked 14,864,928  4,657/s  elapsed 53.2m
  [5400/27940] checked 14,898,768  4,668/s  elapsed 53.2m
  [5420/27940] checked 14,917,760  4,674/s  elapsed 53.2m
  [5440/27940] checked 14,936,752  4,680/s  elapsed 53.2m
  [5460/27940] checked 14,955,744  4,682/s  elapsed 53.2m
  [5480/27940] checked 14,974,736  4,680/s  elapsed 53.3m
  [5500/27940] checked 15,002,460  4,652/s  elapsed 53.8m
  [5520/27940] checked 15,038,156  4,663/s  elapsed 53.8m
